,State,Provider ID, Average Total Payments , Average Covered Charges , Total Discharges 
0,AK,22,14603.197782608695,40478.84417391304,26.62608695652174
1,AL,91,7644.085967789169,32002.253276720465,40.29780380673499
2,AR,75,8080.835570131174,26316.75772452066,42.7204843592331
3,AS,1,,,
4,AZ,80,10244.108460698679,41666.77269650646,37.201237263464336
5,CA,342,12687.203461962605,67976.77300755972,36.48676957001103
6,CO,78,9530.66671130155,41449.43858596668,32.563470808784146
7,CT,31,11358.603305039795,30880.068031830207,47.09071618037135
8,DC,8,12998.029415584411,40116.66365800868,43.95454545454545
9,DE,7,10360.072411167504,27071.69964467005,67.9010152284264
10,FL,188,8830.726527916926,46054.38113398293,48.509153839147466
11,GA,133,8982.171787815098,30949.001415966377,39.19180672268907
12,GU,2,,,
13,HI,23,12859.915824999996,32377.221800000007,27.3075
14,IA,116,8312.571707035739,24168.742041522466,39.667820069204154
15,ID,41,9827.180090744108,25565.547041742284,33.203266787658805
16,IL,180,9807.74522461062,36191.95194362211,45.919423349208394
17,IN,120,8815.486322660086,28228.609056650217,43.20073891625616
18,KS,137,8525.133824675324,32342.300564935067,38.52337662337662
19,KY,92,8297.648570983823,24561.04659713559,47.41469489414695
20,LA,120,8703.95740103268,33402.82401721164,37.00206540447504
21,MA,63,10425.233154565463,20911.042654015306,51.53327832783278
22,MD,49,12662.7234253092,13434.175499524266,51.660323501427214
23,ME,33,8778.41350061199,20686.63717258264,38.73561811505508
24,MI,131,9782.091647770156,24267.53145880567,55.02513227513227
25,MN,131,9910.473640909082,28018.204595454503,42.28545454545455
26,MO,112,8770.56966424455,31434.829937358998,44.39188173390128
27,MP,1,,,
28,MS,95,8351.437312390915,30722.862107329805,39.3935427574171
29,MT,62,9252.80276679841,22670.01523715415,31.037549407114625
30,NC,106,9144.255343527002,25338.52518246695,51.63445463812436
31,ND,44,9827.638033175346,21636.883459715642,38.9218009478673
32,NE,89,9131.977380952387,29645.19042658731,38.205357142857146
33,NH,26,9289.661822600254,27059.020801944098,34.53098420413123
34,NJ,66,10689.406514333208,66197.88801620279,52.1418778562526
35,NM,41,9711.173999999997,29921.339658823574,29.77764705882353
36,NV,35,10314.629084745775,61735.68594067795,35.50847457627118
37,NY,171,11800.768512406354,31741.006472378354,48.46839887640449
38,OH,170,8866.133593215256,28378.974180925572,42.39741109953876
39,OK,123,8411.126893845501,30265.144630318053,39.31350681536555
40,OR,60,10436.192863741338,27390.111870669756,30.443418013856814
41,PA,171,9145.55436543534,40048.98244986811,40.8221635883905
42,PR,53,,,
43,RI,11,10509.566853741493,29942.701122448983,37.906462585034014
44,SC,60,9220.285311233869,36523.37520073655,43.51086556169429
45,SD,59,10087.143962655618,29385.40784232367,41.20539419087137
46,TN,107,8231.327825228325,29707.669780301043,46.026413231300914
47,TX,408,9332.23484986429,42017.15482009972,41.08018909218244
48,UT,46,9751.089028727763,25111.526169630622,31.507523939808483
49,VA,86,8925.387282123529,29453.155896171003,44.93962884660559
50,VI,2,,,
51,VT,14,11766.304481481484,20074.95833333333,37.3
52,WA,91,10543.151652267843,34714.23407487398,38.52087832973362
53,WI,126,9293.779571122208,26186.85934596136,35.459971408148675
54,WV,49,8084.8792446524,19437.549565507987,42.03409090909091
55,WY,28,11714.324361233475,29314.284713656372,27.26872246696035
